식재료,카테고리,English
쌀,곡류 및 전분류,rice
현미,곡류 및 전분류,Brown rice
백미,곡류 및 전분류,White rice
잡곡,곡류 및 전분류,Grain
오곡,곡류 및 전분류,Five grains
오곡밥,곡류 및 전분류,Five grain rice
쌀겨,곡류 및 전분류,Rice bran
귀리,곡류 및 전분류,oats
밀가루,곡류 및 전분류,flour
메밀,곡류 및 전분류,buckwheat
메밀묵,곡류 및 전분류,Buckwheat
보리,곡류 및 전분류,barley
율무,곡류 및 전분류,Yulmu
수수,곡류 및 전분류,sugarcane
강낭콩,곡류 및 전분류,kidney bean
녹두,곡류 및 전분류,green gram
옥수수,곡류 및 전분류,corner
좁쌀,곡류 및 전분류,Millet
찹쌀,곡류 및 전분류,Glutinous rice
쌀국수,곡류 및 전분류,Rice noodles
쌀밥,곡류 및 전분류,Rice
오트밀,곡류 및 전분류,oatmeal
쌀뜨물,곡류 및 전분류,Rice water
녹말,곡류 및 전분류,starch
누룽지,곡류 및 전분류,Nurungji
공기밥,곡류 및 전분류,Rice
튀밥,곡류 및 전분류,Tubap
전분,곡류 및 전분류,Starch
미숫가루,곡류 및 전분류,Rice flour
홍두깨,곡류 및 전분류,Red head
밥,곡류 및 전분류,rice
타피오카,곡류 및 전분류,tapioca
당면,곡류 및 전분류,Verse
도토리묵,곡류 및 전분류,Acorn jelly
배추,채소류,napa cabbage
배추김치,채소류,Chinese cabbage kimchi
양배추,채소류,cabbage
대파,채소류,green onion
쪽파,채소류,Chives
실파,채소류,Gap
파,채소류,green onion
부추,채소류,chives
시금치,채소류,spinach
상추,채소류,lettuce
어린잎채소,채소류,Young leafy vegetables
깻잎,채소류,Sesame leaves
참나물,채소류,Greens
쑥갓,채소류,Mugwort
취나물,채소류,취나물
열무,채소류,Radish
케일,채소류,Kale
고사리,채소류,bracken
머위,채소류,coltsfoot
미나리,채소류,water parsley
아욱,채소류,Mallow
돌나물,채소류,Stone herb
냉이,채소류,Hotter
참취,채소류,Tamper
연근,채소류,Lotus root
우엉,채소류,burdock
도라지,채소류,balloon flower
감자,채소류,potato
고구마,채소류,sweet potato
당근,채소류,carrot
브로콜리,채소류,broccoli
콜리플라워,채소류,콜리플라워
방울토마토,채소류,Cherry
토마토,채소류,tomato
가지,채소류,egg plant
호박,채소류,pumpkin
늙은호박,채소류,Old pumpkin
버섯,채소류,mushroom
양송이버섯,채소류,Mushroom
송이버섯,채소류,Pine mushroom
팽이버섯,채소류,Top mushroom
표고버섯,채소류,Shiitake
느타리버섯,채소류,Oyster mushroom
느타리,채소류,Yaw
새싹,채소류,sprout
숙주,채소류,host
죽순,채소류,Bamboo shoots
감태,채소류,Emotional
해초,채소류,seaweeds
아욱,채소류,Mallow
콩나물,채소류,bean sprout
청경채,채소류,Bok
쪽파,채소류,Chives
토란,채소류,Taro
피망,채소류,pimento
마늘,채소류,garlic
달래,채소류,Soothe
파프리카,채소류,paprika
백련,채소류,White lotus
야채,채소류,vegetable
서리,채소류,frost
실고추,채소류,Pepper
쑥,채소류,Wormwood
무,채소류,radish
양파,채소류,onion
나물,채소류,Herb
샐러드,채소류,salad
백합,채소류,lily
비트,채소류,bit
민들레,채소류,dandelion
쪽,채소류,side
뽕잎,채소류,Mulberry leaf
두릅,채소류,Row
골파,채소류,chive
오이,채소류,cucumber
참마,채소류,yam
셀러리,채소류,celery
꽈리고추,채소류,Pepper
콩,콩 및 두류,bean
검은콩,콩 및 두류,Black bean
콩기름,콩 및 두류,Bean oil
두부,콩 및 두류,tofu
순두부,콩 및 두류,Tofu
콩가루,콩 및 두류,Soybean powder
콩고기,콩 및 두류,Bean meat
두유,콩 및 두류,Soy milk
청국장,콩 및 두류,Cheonggukjang
낫토,콩 및 두류,Natto
된장,콩 및 두류,soybean paste
두반장,콩 및 두류,Bubble
청국장,콩 및 두류,Cheonggukjang
앙금,콩 및 두류,Sediment
묵,콩 및 두류,Jelly
팥소,콩 및 두류,Red bean paste
팥,콩 및 두류,red bean
유부,콩 및 두류,Tortilla
대두,콩 및 두류,Soybean
사과,과일류,apologize
배,과일류,ship
포도,과일류,grape
청포도,과일류,Green grapes
블루베리,과일류,Blueberries
체리,과일류,cherry
망고,과일류,mango
파인애플,과일류,pineapple
감귤,과일류,Citrus
귤,과일류,mandarin
레몬,과일류,lemon
레몬그라스,과일류,Lemon grass
라임,과일류,lime
천도복숭아,과일류,Peach
복숭아,과일류,peach
유자,과일류,Citron
자두,과일류,plum
석류,과일류,Pomegranate
단감,과일류,Sweetness
홍시,과일류,Hongsi
곶감,과일류,Dried persimmon
바나나,과일류,banana
키위,과일류,kiwi
리치,과일류,Rich
무화과,과일류,fig
잣,과일류,pine nut
땅콩,과일류,peanut
호두,과일류,walnut
아몬드,과일류,almond
견과,과일류,nut
멜론,과일류,melon
아보카도,과일류,avocado
메실,과일류,Massil
오미자,과일류,Schisandra
카카오,과일류,Cacao
코코넛,과일류,coconut
참외,과일류,melon
수박,과일류,watermelon
자청,과일류,Volunteer
밤,과일류,night
오렌지,과일류,orange
구기자,과일류,Gojija
대추,과일류,jujube
산딸기,과일류,raspberry
과일,과일류,fruit
딸기,과일류,strawberry
올리브,과일류,olive
참깨,견과 및 씨앗류,sesame
들깨,견과 및 씨앗류,Perilla
깨,견과 및 씨앗류,sesame
통깨,견과 및 씨앗류,Sesame
참기름,견과 및 씨앗류,Sesame oil
들기름,견과 및 씨앗류,Perilla oil
깨소금,견과 및 씨앗류,Sesame salt
잣,견과 및 씨앗류,pine nut
호두,견과 및 씨앗류,walnut
아몬드,견과 및 씨앗류,almond
땅콩,견과 및 씨앗류,peanut
도토리,견과 및 씨앗류,acorn
은행,견과 및 씨앗류,bank
소고기,육류,beef
돼지고기,육류,pork
삼겹살,육류,pork belly
대패삼겹살,육류,Pork belly
차돌박이,육류,Marbled
목살,육류,Neck
부챗살,육류,Bushhatsal
쇠고기,육류,beef
돈육,육류,Pork
돈가스,육류,Pork cutlet
돼지갈비,육류,Pork ribs
닭고기,육류,chicken
닭다리,육류,Chicken leg
닭날개,육류,Chicken wings
닭살,육류,Chicken
오리고기,육류,Duck
양고기,육류,lamb
스테이크,육류,steak
목심,육류,Crowd
갈비,육류,rib
안심,육류,tenderloin
부채살,육류,Debt
간,육류,liver
돼지,육류,pig
치킨,육류,chicken
사태,육류,situation
양지,육류,Sunshine
닭,육류,chicken
고기,육류,meat
등심,육류,sirloin
